Player,Team,Opponent,Position,Line,Proj Goals,Proj Assists,Proj SOG,Proj Blocks,DK Points
Sam Steel,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Nathan Bastian,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Jason Robertson,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Miro Heiskanen,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Oskar Bäck,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Nils Lundkvist,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Ilya Lyubushkin,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Thomas Harley,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Vladislav Kolyachonok,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Mavrik Bourque,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Wyatt Johnston,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Lian Bichsel,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Justin Hryckowian,DAL,PIT,F,NA,0.0,0.0,0.0,0.0,0.0
Evgeni Malkin,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Sidney Crosby,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Kris Letang,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Erik Karlsson,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Kevin Hayes,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Bryan Rust,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Rickard Rakell,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Mathew Dumba,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Connor Clifton,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Ryan Graves,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Anthony Mantha,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Danton Heinen,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Bokondji Imama,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Tommy Novak,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Parker Wotherspoon,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Caleb Jones,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Noel Acciari,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Ryan Shea,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Joona Koppanen,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Justin Brazeau,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Filip Hallander,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
Connor Dewar,PIT,DAL,F,NA,0.0,0.0,0.0,0.0,0.0
