PlayerRaw,NormName,SV_season,SV_recent,SV_last
Dougie Hamilton,DOUGIE HAMILTON,0.9,0.9,0.8993000000000001
Jonas Brodin,JONAS BRODIN,0.9094,0.9094,0.8893000000000001
Jamie Oleksiak,JAMIE OLEKSIAK,0.8931999999999999,0.8931999999999999,0.8942
J.T. Miller,J T MILLER,0.8669,0.8669,0.851
Joel Armia,JOEL ARMIA,0.9355,0.9355,0.8917
Connor Murphy,CONNOR MURPHY,0.9026000000000001,0.9026000000000001,0.9007999999999999
Stefan Noesen,STEFAN NOESEN,0.8946999999999999,0.8946999999999999,0.8859
Phillip Danault,PHILLIP DANAULT,0.9059,0.9059,0.9031
Vladislav Namestnikov,VLADISLAV NAMESTNIKOV,0.9138,0.9138,0.9203
Rickard Rakell,RICKARD RAKELL,0.9231,0.9231,0.8622
Colin Miller,COLIN MILLER,0.9079,0.9079,0.9378
Jonathan Marchessault,JONATHAN MARCHESSAULT,0.8442000000000001,0.8442000000000001,0.8815999999999999
Barclay Goodrow,BARCLAY GOODROW,0.9057,0.9057,0.8782
Luke Glendening,LUKE GLENDENING,0.9107,0.9107,0.9028
Yanni Gourde,YANNI GOURDE,0.9144,0.9144,0.8774
Morgan Rielly,MORGAN RIELLY,0.8764,0.8764,0.8966
Hampus Lindholm,HAMPUS LINDHOLM,0.8889,0.8889,0.8304
Mathew Dumba,MATHEW DUMBA,0.8695999999999999,0.8695999999999999,0.8989
Brendan Gaunce,BRENDAN GAUNCE,0.875,0.875,0.9129999999999999
Brady Skjei,BRADY SKJEI,0.8667,0.8667,0.8839
Tanner Pearson,TANNER PEARSON,0.9247,0.9247,0.9123
Scott Laughton,SCOTT LAUGHTON,0.9218999999999999,0.9218999999999999,0.8606
Mark Jankowski,MARK JANKOWSKI,0.9194,0.9194,0.9055
Olli Määttä,OLLI M TT,0.8787999999999999,0.8787999999999999,
Mike Matheson,MIKE MATHESON,0.8768,0.8768,0.8851
Zemgus Girgensons,ZEMGUS GIRGENSONS,0.9023,0.9023,0.9124
Cody Ceci,CODY CECI,0.9065000000000001,0.9065000000000001,0.9054000000000001
Tom Wilson,TOM WILSON,0.8853,0.8853,0.8784000000000001
Tomas Hertl,TOMAS HERTL,0.8621,0.8621,0.8744
Teuvo Teravainen,TEUVO TERAVAINEN,0.9342,0.9342,0.8745999999999999
Jacob Trouba,JACOB TROUBA,0.8970999999999999,0.8970999999999999,0.8941
Filip Forsberg,FILIP FORSBERG,0.9009999999999999,0.9009999999999999,0.8617
Radek Faksa,RADEK FAKSA,0.8973,0.8973,0.8956000000000001
Matt Grzelcyk,MATT GRZELCYK,0.9157,0.9157,0.9031999999999999
Colton Parayko,COLTON PARAYKO,0.8863,0.8863,0.8837
Oskar Sundqvist,OSKAR SUNDQVIST,0.8673000000000001,0.8673000000000001,0.8902
Esa Lindell,ESA LINDELL,0.9073,0.9073,0.9162
Chandler Stephenson,CHANDLER STEPHENSON,0.8972,0.8972,0.8832
Shayne Gostisbehere,SHAYNE GOSTISBEHERE,0.8571,0.8571,0.8804000000000001
Mackenzie MacEachern,MACKENZIE MACEACHERN,0.8649,0.8649,
Adam Pelech,ADAM PELECH,0.8937,0.8937,0.8864
Jordan Martinook,JORDAN MARTINOOK,0.8804000000000001,0.8804000000000001,0.9118999999999999
Damon Severson,DAMON SEVERSON,0.9009,0.9009,0.8835999999999999
Colton Sissons,COLTON SISSONS,0.8889,0.8889,0.8863
Teddy Blueger,TEDDY BLUEGER,0.9231,0.9231,0.9074
Jake McCabe,JAKE MCCABE,0.9009999999999999,0.9009999999999999,0.8986
Jaccob Slavin,JACCOB SLAVIN,0.75,0.75,0.8795999999999999
Brett Kulak,BRETT KULAK,0.8593999999999999,0.8593999999999999,0.888
Erik Gustafsson,ERIK GUSTAFSSON,0.8332999999999999,0.8332999999999999,0.8864
Josh Anderson,JOSH ANDERSON,0.8440000000000001,0.8440000000000001,0.9037000000000001
Vinnie Hinostroza,VINNIE HINOSTROZA,0.92,0.92,0.93
Connor Brown,CONNOR BROWN,0.9056000000000001,0.9056000000000001,0.8998
Ben Hutton,BEN HUTTON,0.8968,0.8968,0.9412
Liam O'Brien,LIAM O'BRIEN,0.8604999999999999,0.8604999999999999,0.9309999999999999
Kurtis MacDermid,KURTIS MACDERMID,0.85,0.85,0.8723000000000001
Scott Sabourin,SCOTT SABOURIN,0.9,0.9,0.7143
Nate Schmidt,NATE SCHMIDT,0.8843000000000001,0.8843000000000001,0.9102
MacKenzie Weegar,MACKENZIE WEEGAR,0.8604,0.8604,0.8957999999999999
Connor Clifton,CONNOR CLIFTON,0.8852,0.8852,0.8794
Carson Soucy,CARSON SOUCY,0.9348000000000001,0.9348000000000001,0.8879
Jonny Brodzinski,JONNY BRODZINSKI,0.9659,0.9659,0.9472
John Hayden,JOHN HAYDEN,0.9167000000000001,0.9167000000000001,0.9240999999999999
Pavel Buchnevich,PAVEL BUCHNEVICH,0.8514,0.8514,0.8844
Jake Guentzel,JAKE GUENTZEL,0.8803,0.8803,0.9027
Mattias Janmark,MATTIAS JANMARK,0.8704000000000001,0.8704000000000001,0.8967
Anthony Duclair,ANTHONY DUCLAIR,0.9412,0.9412,0.8914
Carter Verhaeghe,CARTER VERHAEGHE,0.8774,0.8774,0.875
Oliver Bjorkstrand,OLIVER BJORKSTRAND,0.8793000000000001,0.8793000000000001,0.9024
Mason Geertsen,MASON GEERTSEN,0.8889,0.8889,
Miles Wood,MILES WOOD,0.8924,0.8924,0.9
Nick Paul,NICK PAUL,0.8957999999999999,0.8957999999999999,0.9212
Andrew Copp,ANDREW COPP,0.8423999999999999,0.8423999999999999,0.8972
Ryan Graves,RYAN GRAVES,0.9031999999999999,0.9031999999999999,0.8874
Andre Burakovsky,ANDRE BURAKOVSKY,0.9017000000000001,0.9017000000000001,0.8959999999999999
Michael McCarron,MICHAEL MCCARRON,0.8663,0.8663,0.8817
Shea Theodore,SHEA THEODORE,0.9007,0.9007,0.9045000000000001
Jason Dickinson,JASON DICKINSON,0.8354,0.8354,0.8759999999999999
Ryan Hartman,RYAN HARTMAN,0.9412,0.9412,0.9076000000000001
Adam Erne,ADAM ERNE,0.9483,0.9483,
J.T. Compher,J T COMPHER,0.8593000000000001,0.8593000000000001,0.8819
Steven Santini,STEVEN SANTINI,0.9355,0.9355,0.75
Artturi Lehkonen,ARTTURI LEHKONEN,0.953,0.953,0.9047
William Carrier,WILLIAM CARRIER,0.8718,0.8718,0.8791
Tyler Bertuzzi,TYLER BERTUZZI,0.8870999999999999,0.8870999999999999,0.8640000000000001
Brett Pesce,BRETT PESCE,0.9398000000000001,0.9398000000000001,0.8968
Nathan MacKinnon,NATHAN MACKINNON,0.9393,0.9393,0.8845000000000001
Jonathan Drouin,JONATHAN DROUIN,0.9037999999999999,0.9037999999999999,0.855
Seth Jones,SETH JONES,0.875,0.875,0.8759
